Row,Coastal,Deep
bio,1.10036773923651,1.09964269925689
td,0.451637015996412,0
met,0.00230678067828465,0.00116046225018651
enc_f,0.0234779280245685,0
enc_p,0.00140867568147411,0
enc_d,0.00560175124796721,0.00337651236500099
enc_zm,0,0
enc_zl,0,0
enc_be,0.0246147540131265,0.0143705359346314
con_f,0.00234537099586646,0
con_p,0.000140722259751988,0
con_d,0.000559597290241822,0.000580711284408571
con_zm,0,0
con_zl,0,0
con_be,0.00245893632829789,0.00247152430618654
I,0.00550462687415816,0.00305223559059511
die,0,0
pred,0,0
nmort,0.000273972602739726,0.000273972602739726
prod,0.00170110394698867,0.00107371292955307
nu,0.00154645813362606,0.000976102663230065
gamma,0,0
rep,0.000799305212300199,0.000488315919557133
rec,0.000752396690208694,0.000312063092531837
clev,0.900103152483807,0.828014465331774
caught,0.000905155804143003,0.000904559390669226
fmort,0.000821917808219178,0.000821917808219178
bio_init,1.1,1.1
