Row,Coastal,Deep
bio,0.659866977832997,0.66025834836493
td,1,1
met,0.00233945598496178,0.00404353139275588
enc_f,0.0316300266428847,0.0473376934412486
enc_p,0.00189780159857308,0.00284026160647492
enc_d,0,0
enc_zm,0,0
enc_zl,0,0
enc_be,0,0
con_f,0.00492230074557885,0.00736674573027139
con_p,0.000295338044734731,0.000442004743816283
con_d,0,0
con_zm,0,0
con_zl,0,0
con_be,0,0
I,0.00521763879031359,0.00780875047408768
die,0,0
pred,0,0
nmort,0.000273972602739726,0.000273972602739726
prod,0.000866508171050101,0.000938911999809628
nu,0.00131289116825773,0.0014225939391055
gamma,0,0
rep,0.000663411223548881,0.000725133831501358
rec,0.000161945546523466,0.000521971109962681
clev,0.844378861859538,0.844378861859538
caught,0.000542802559226485,0.000543124498243704
fmort,0.000821917808219178,0.000821917808219178
bio_init,0.66,0.66
