Row,Coastal,Deep
bio,0.170032485145504,0.170182581240102
td,0,0
met,0.00676542331879637,0.00344310897318819
enc_f,0,0
enc_p,0,0
enc_d,0,0
enc_zm,0,0
enc_zl,0,0
enc_be,0.0845828645891564,0.0498043143823274
con_f,0,0
con_p,0,0
con_d,0,0
con_zm,0,0
con_zl,0,0
con_be,0.0214137744900976,0.0129119569868734
I,0.0214137744900976,0.0129119569868734
die,0.000615557019266004,0.000638782412849428
pred,0.0036209236427412,0.00375754360499664
nmort,0.000273972602739726,0.000273972602739726
prod,0.00139811720012623,0.000951194355995945
nu,0.00822421882427193,0.00559526091762321
gamma,0.00442586288358055,0.00183566525018728
rep,0,0
rec,6.28734188171251e-05,0.000242796491131361
clev,0.746830819763429,0.740746215523547
caught,1.39764214986578e-05,1.3988759178023e-05
fmort,8.21917808219178e-05,8.21917808219178e-05
bio_init,0.17,0.17
