Row,Coastal,Deep
bio,0.0569834322725664,0.0570496802238699
td,1,1
met,0.00694120114024055,0.0119972185390161
enc_f,0.00253859040442242,0.00379927009528702
enc_p,0.00013846856751395,0.000207232914288383
enc_d,0.0005538742700558,0.000828931657153533
enc_zm,0.0934662830719163,0.271993200003503
enc_zl,0,0
enc_be,0,0
con_f,0.000589097151901582,0.000518296646488583
con_p,3.21325719219045e-05,2.82707261721045e-05
con_d,0.000128530287687618,0.000113082904688418
con_zm,0.0216894860472855,0.0371053281008872
con_zl,0,0
con_be,0,0
I,0.0224392460587966,0.0377649783782363
die,0.000349717595252109,0.000291723130918747
pred,0.00613539640793174,0.00511794966524118
nmort,0.000273972602739726,0.000273972602739726
prod,0.000499677452752274,0.000822981180567712
nu,0.00876627110091709,0.0144382663257493
gamma,0.00284114993900817,0.00915738789408213
rep,0,0
rec,1.57183547042813e-05,6.06991227828402e-05
clev,0.767943205459482,0.863579942070576
caught,4.68395475841026e-06,4.68940024307778e-06
fmort,8.21917808219178e-05,8.21917808219178e-05
bio_init,0.057,0.057
