Row,Coastal,Deep
bio,0.0219525417329417,0.0221617161997584
td,1,1
met,0.0205946483195168,0.0355959280867145
enc_f,0,0
enc_p,0,0
enc_d,0,0
enc_zm,0.647856721201779,1.88530683955694
enc_zl,0,0
enc_be,0,0
con_f,0,0
con_p,0,0
con_d,0,0
con_zm,0.11388379453259,0.186350038983488
con_zl,0,0
con_be,0,0
I,0.11388379453259,0.186350038983488
die,0.0011528631262714,0.00101430653717816
pred,0.0524028693759726,0.0461048425990071
nmort,0.000273972602739726,0.000273972602739726
prod,0.00130072817277251,0.00208668018243799
nu,0.0591240078532961,0.094849099201727
gamma,0.0130986289202344,0.0505826023190335
rep,0,0
rec,9.88739199460466e-05,0.000208187202777553
clev,0.824214535705774,0.901156652554615
caught,0,0
fmort,0,0
bio_init,0.022,0.022
