Row,Coastal,Deep
bio,0.00119639675842064,0.00120225110130504
td,1,1
met,0.0205946483195168,0.0355959280867145
enc_f,0,0
enc_p,0,0
enc_d,0,0
enc_zm,0.647856721201779,1.88530683955694
enc_zl,0,0
enc_be,0,0
con_f,0,0
con_p,0,0
con_d,0,0
con_zm,0.11388379453259,0.186350038983488
con_zl,0,0
con_be,0,0
I,0.11388379453259,0.186350038983488
die,6.28834432511671e-05,5.53258111188085e-05
pred,0.0524028693759726,0.0461048425990071
nmort,0.000273972602739726,0.000273972602739726
prod,7.09488094239553e-05,0.000113818919042072
nu,0.0591240078532961,0.094849099201727
gamma,0.0130986289202344,0.0505826023190335
rep,0,0
rec,4.37851407542261e-06,4.78588328790896e-06
clev,0.824214535705774,0.901156652554615
caught,0,0
fmort,0,0
bio_init,0.0012,0.0012
